snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-08-14,NV @ Harbor Point,1,1059,1BR,1,1.0,759,2645.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,1509,1BR,1,1.0,759,2715.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,1510,1BR,1,1.0,759,2895.0,,asking,,9/10/26,,,
2026-08-14,NV @ Harbor Point,1,1554,1BR,1,1.0,759,2745.0,,asking,,11/26/26,,,
2026-08-14,NV @ Harbor Point,1,1610,1BR,1,1.0,759,2715.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,1659,1BR,1,1.0,759,2765.0,,asking,,9/6/26,,,
2026-08-14,NV @ Harbor Point,1,417,1BR,1,1.0,806,2745.0,,asking,,8/26/26,,,
2026-08-14,NV @ Harbor Point,1,611,1BR,1,1.0,969,2885.0,,asking,,10/20/26,,,
2026-08-14,NV @ Harbor Point,1,709,1BR,1,1.0,759,2615.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,1052,2BR,2,2.0,1109,3865.0,,asking,,10/27/26,,,
2026-08-14,NV @ Harbor Point,1,106,2BR,2,2.0,1310,4395.0,,asking,,9/21/26,,,
2026-08-14,NV @ Harbor Point,1,107,2BR,2,2.0,1310,4095.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,1261,2BR,2,2.0,1109,3865.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,1458,2BR,2,2.0,1109,3895.0,,asking,,10/30/26,,,
2026-08-14,NV @ Harbor Point,1,1611,2BR,2,2.0,1109,3895.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,303,2BR,2,1.0,1055,3795.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,305,2BR,2,2.0,1109,3995.0,,asking,,8/31/26,,,
2026-08-14,Opus @ Harbor Point,1,1112,1BR,1,1.0,792,3815.0,,asking,,,,,
2026-08-14,Opus @ Harbor Point,1,125,1BR,1,1.0,842,3415.0,,asking,,,,,
2026-08-14,Opus @ Harbor Point,1,1305,1BR,1,1.0,817,3785.0,,asking,,9/20/26,,,
2026-08-14,Opus @ Harbor Point,1,224,1BR,1,1.0,840,3415.0,,asking,,9/7/26,,,
2026-08-14,Opus @ Harbor Point,1,227,1BR,1,1.0,842,3395.0,,asking,,,,,
2026-08-14,Opus @ Harbor Point,1,304,1BR,1,1.0,1156,4295.0,,asking,,9/7/26,,,
2026-08-14,Opus @ Harbor Point,1,321,1BR,1,1.0,791,3495.0,,asking,,10/9/26,,,
2026-08-14,Opus @ Harbor Point,1,404,1BR,1,1.0,902,3985.0,,asking,,10/8/26,,,
2026-08-14,Opus @ Harbor Point,1,409,1BR,1,1.0,911,3895.0,,asking,,8/26/26,,,
2026-08-14,Opus @ Harbor Point,1,410,1BR,1,1.0,763,3395.0,,asking,,,,,
2026-08-14,Opus @ Harbor Point,1,906,1BR,1,1.0,817,3795.0,,asking,,10/20/26,,,
2026-08-14,Opus @ Harbor Point,1,401,2BR,2,2.0,1300,6315.0,,asking,,,,,
2026-08-14,Opus @ Harbor Point,1,901,2BR,2,2.0,1300,6415.0,,asking,,,,,
2026-08-14,Postmark,1,0455,1BR,1,1.0,838,2835.0,,asking,,10/23/2026,,,
2026-08-14,Postmark,1,0565,1BR,1,1.0,760,2831.0,,asking,,,,,
2026-08-14,Postmark,1,0666,1BR,1,1.0,838,3024.0,,asking,,8/16/2026,,,
2026-08-14,Postmark,1,0809,1BR,1,1.0,838,2791.0,,asking,,,,,
2026-08-14,Postmark,1,0867,1BR,1,1.0,760,3026.0,,asking,,9/1/2026,,,
2026-08-14,Postmark,1,0965,1BR,1,1.0,760,2844.0,,asking,,,,,
2026-08-14,Postmark,1,0975,1BR,1,1.0,754,2870.0,,asking,,9/11/2026,,,
2026-08-14,Postmark,1,0977,1BR,1,1.0,760,2879.0,,asking,,8/15/2026,,,
2026-08-14,Postmark,1,1007,1BR,1,1.0,830,3031.0,,asking,,,,,
2026-08-14,Postmark,1,1110,1BR,1,1.0,760,2875.0,,asking,,10/6/2026,,,
2026-08-14,Postmark,1,0251,2BR,2,2.0,1052,4488.0,,asking,,10/7/2026,,,
2026-08-14,Postmark,1,0656,2BR,2,2.0,1045,4093.0,,asking,,9/7/2026,,,
2026-08-14,Postmark,1,0762,2BR,2,2.0,1049,4051.0,,asking,,,,,
2026-08-14,Postmark,1,0801,2BR,2,2.0,1188,4514.0,,asking,,10/7/2026,,,
2026-08-14,Postmark,1,1203,2BR,2,2.0,1173,4422.0,,asking,,10/12/2026,,,
2026-08-14,The Key at Yale & Towne,1,315,1BR,1,1.0,829,2647.0,,asking,,10/24/2026,,,
2026-08-14,The Key at Yale & Towne,1,403,1BR,1,1.0,642,2322.0,,asking,,,,,
2026-08-14,The Key at Yale & Towne,1,412,1BR,1,1.0,677,2385.0,,asking,,9/10/2026,,,
2026-08-14,The Key at Yale & Towne,1,507,1BR,1,1.0,677,2365.0,,asking,,9/17/2026,,,
2026-08-14,Vault,1,244,1BR,1,1.0,787,2668.0,,asking,,8/26/2026,,,
2026-08-14,Vault,1,252,1BR,1,1.0,787,2668.0,,asking,,10/2/2026,,,
2026-08-14,Vault,1,333,1BR,1,1.0,684,2514.0,,asking,,9/7/2026,,,
2026-08-14,Vault,1,439,1BR,1,1.0,684,2549.0,,asking,,,,,
2026-08-14,Vault,1,531,1BR,1,1.0,684,2559.0,,asking,,10/3/2026,,,
2026-08-14,Vault,1,541,1BR,1,1.0,724,2638.0,,asking,,8/19/2026,,,
2026-08-14,Vault,1,557,1BR,1,1.0,684,2499.0,,asking,,9/12/2026,,,
2026-08-14,Vault,1,624,1BR,1,1.0,684,2569.0,,asking,,9/7/2026,,,
2026-08-14,Vault,1,625,1BR,1,1.0,684,2544.0,,asking,,9/16/2026,,,
2026-08-14,Vault,1,631,1BR,1,1.0,684,2544.0,,asking,,10/7/2026,,,
2026-08-14,Vault,1,632,1BR,1,1.0,684,2569.0,,asking,,10/19/2026,,,
2026-08-14,Vault,1,111,2BR,2,2.0,1042,3274.0,,asking,,,,,
2026-08-14,Vault,1,119,2BR,2,2.0,1042,3253.0,,asking,,10/11/2026,,,
2026-08-14,Vault,1,316,2BR,2,2.0,1029,3576.0,,asking,,,,,
2026-08-14,Vault,1,651,2BR,2,2.0,1239,3613.0,,asking,,9/20/2026,,,
