snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-08-17,The Key at Yale & Towne,1,507,1BR,1,1.0,677,2365.0,,asking,,9/17/2026,,,
2026-08-17,Vault,1,252,1BR,1,1.0,787,2668.0,,asking,,10/2/2026,,,
2026-08-17,Vault,1,333,1BR,1,1.0,684,2514.0,,asking,,9/7/2026,,,
2026-08-17,Vault,1,439,1BR,1,1.0,684,2549.0,,asking,,,,,
2026-08-17,Vault,1,531,1BR,1,1.0,684,2559.0,,asking,,10/3/2026,,,
2026-08-17,Vault,1,541,1BR,1,1.0,724,2638.0,,asking,,8/19/2026,,,
2026-08-17,Vault,1,557,1BR,1,1.0,684,2499.0,,asking,,9/12/2026,,,
2026-08-17,Vault,1,624,1BR,1,1.0,684,2569.0,,asking,,9/7/2026,,,
2026-08-17,Vault,1,625,1BR,1,1.0,684,2544.0,,asking,,9/16/2026,,,
2026-08-17,Vault,1,631,1BR,1,1.0,684,2544.0,,asking,,10/7/2026,,,
2026-08-17,Vault,1,632,1BR,1,1.0,684,2569.0,,asking,,10/19/2026,,,
2026-08-17,Vault,1,111,2BR,2,2.0,1042,3274.0,,asking,,,,,
2026-08-17,Vault,1,316,2BR,2,2.0,1029,3576.0,,asking,,,,,
2026-08-17,Vault,1,651,2BR,2,2.0,1239,3613.0,,asking,,9/20/2026,,,
