snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months,first_seen,last_seen,active
2026-07-17,505 Summit,1,4710,1BR,1,1.0,793,4201.0,3627.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-07-14,2026-07-17,0
2026-06-11,505 Summit,1,4808,1BR,1,1.0,710,4171.0,3686.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,4808,1BR,1,1.0,710,4191.0,3618.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
2026-07-03,505 Summit,1,4812,1BR,1,1.0,730,4106.0,3628.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-30,2026-07-03,0
2026-06-11,505 Summit,1,4905,1BR,1,1.0,699,3931.0,3471.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-03,505 Summit,1,4905,1BR,1,1.0,699,3931.0,3471.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-03,0
2026-06-11,505 Summit,1,4912,1BR,1,1.0,730,4116.0,3637.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-13,505 Summit,1,4912,1BR,1,1.0,730,4116.0,3637.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-13,0
2026-07-11,505 Summit,1,5001,1BR,1,1.0,600,3631.0,3203.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-30,2026-07-11,0
2026-06-08,505 Summit,1,5010,1BR,1,1.0,793,4251.0,3758.0,both,,,,2.5,24,2026-06-08,2026-06-08,0
2026-07-10,505 Summit,1,5010,1BR,1,1.0,793,4251.0,3758.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-23,2026-07-10,0
